Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189383,153.59375,0.13441387,0.5833333333333334,0.5833333333333334,1.0
2000,None,199.0,-0.023914414,0.0,0.0,1.0
3000,None,199.0,0.17672141,0.0,0.0,1.0
4000,None,199.0,0.13229047,0.0,0.0,1.0
5000,None,199.0,0.1643151,0.0,0.0,1.0
6000,None,199.0,-0.02147485,0.0,0.0,1.0
7000,None,199.0,0.0830086,0.0,0.0,1.0
8000,1.4189385,199.0,0.042705037,0.0,0.0,1.0
9000,1.4189383,133.0,0.066232346,0.0,0.0,1.0
10000,1.4189385,None,-0.051093362,0.0,0.0,1.0
11000,1.4189383,None,0.06951387,0.0,0.0,1.0
12000,1.4189385,None,-0.014687019,0.0,0.0,1.0
13000,1.4174663,82.77777777777777,0.34243134,0.36363636363636365,0.36363636363636365,1.0
14000,1.417137,137.0,0.09106489,-0.14285714285714285,-0.14285714285714285,1.0
15000,1.417137,138.16666666666666,0.41419503,-0.8571428571428571,-0.8571428571428571,1.0
16000,1.417137,187.80769230769232,0.6879279,-1.0,-1.0,1.0
17000,None,199.0,0.08635193,0.0,0.0,1.0
18000,None,199.0,0.16882835,0.0,0.0,1.0
19000,None,199.0,0.01381925,0.0,0.0,1.0
20000,1.417137,199.0,0.0811676,0.0,0.0,1.0
21000,1.417137,199.0,0.041407444,0.0,0.0,1.0
22000,1.417137,6.0,0.23612721,0.0,0.0,1.0
23000,1.417137,None,0.20172068,0.0,0.0,1.0
24000,1.417137,158.0,0.10149922,-0.16666666666666666,-0.16666666666666666,1.0
25000,1.4183251,80.33333333333333,0.44557416,-0.6363636363636364,-0.6363636363636364,1.0
26000,1.4181099,139.4,0.34531206,-0.1111111111111111,-0.1111111111111111,1.0
27000,1.4181099,161.42857142857142,0.2643172,0.14285714285714285,0.14285714285714285,1.0
28000,1.4181099,143.14285714285714,0.24984662,-0.2857142857142857,-0.2857142857142857,1.0
29000,1.4181099,180.8,0.15138847,-0.2,-0.2,1.0
30000,1.4181099,152.66666666666666,0.29943416,-0.8333333333333334,-0.8333333333333334,1.0
31000,1.4181099,169.16666666666666,0.26475462,-0.5,-0.5,1.0
32000,1.4181099,191.05263157894737,0.14660653,-0.2,-0.2,1.0
