Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189384,78.46153846153847,-0.031112447,0.6461666710674763,0.6461666710674763,1.0
2000,1.4189385,197.24,-0.022930803,0.05700000002980232,0.05700000002980232,1.0
3000,None,199.0,-0.15790674,0.0,0.0,1.0
4000,None,199.0,-0.007843423,0.0,0.0,1.0
5000,None,199.0,-0.045154583,0.0,0.0,1.0
6000,None,199.0,-0.17414261,0.0,0.0,1.0
7000,None,199.0,-0.14389782,0.0,0.0,1.0
8000,1.4189385,159.2,-0.019933801,0.0,0.0,1.0
9000,1.4189385,99.5,-0.07832911,0.0,0.0,1.0
10000,1.4189385,None,0.028224524,0.0,0.0,1.0
11000,1.4189383,None,-0.11204996,0.0,0.0,1.0
12000,1.4189383,199.0,0.01414015,0.2854285751070295,0.2854285751070295,1.0
13000,1.4225849,133.0,-0.03488596,0.33042856625148226,0.33042856625148226,1.0
14000,1.4239472,176.8,-0.019847129,0.11220000386238098,0.11220000386238098,1.0
15000,1.4239472,196.88,0.16262555,-0.3333333333333333,-0.3333333333333333,1.0
16000,None,199.0,-0.04857654,0.0,0.0,1.0
17000,None,199.0,-0.0043556914,0.0,0.0,1.0
18000,None,199.0,-0.02106614,0.0,0.0,1.0
19000,None,199.0,-0.0763361,0.0,0.0,1.0
20000,1.4239472,199.0,0.035727825,0.0,0.0,1.0
21000,None,99.5,-0.041854326,0.0,0.0,1.0
22000,1.423947,199.0,0.033341847,0.0,0.0,1.0
23000,1.4239472,110.0,-0.036263146,0.0,0.0,1.0
24000,1.423947,None,0.010561386,0.0,0.0,1.0
25000,1.4242905,112.44444444444444,-0.010273063,0.3487142877919333,0.3487142877919333,1.0
26000,1.4223311,163.5,0.015706684,-0.23177777727444968,-0.23177777727444968,1.0
27000,1.422331,174.16666666666666,0.10031573,0.050833333283662796,0.050833333283662796,1.0
28000,1.422331,176.42857142857142,0.10408393,-0.8291666666045785,-0.8291666666045785,1.0
29000,1.4223311,190.5,0.055388242,-0.35349999864896137,-0.35349999864896137,1.0
30000,None,199.0,0.072097234,0.0,0.0,1.0
31000,None,199.0,-0.07250858,0.0,0.0,1.0
32000,1.4223311,159.2,0.028835928,0.0,0.0,1.0
33000,1.4223311,133.0,-0.006633428,0.0,0.0,1.0
34000,1.422331,199.0,0.04685072,0.0,0.0,1.0
35000,1.422331,None,0.062376965,0.0,0.0,1.0
36000,1.4223311,106.5,0.0066818013,0.1665000021457672,0.1665000021457672,1.0
37000,1.4291884,131.07142857142858,0.10056936,-0.5,-0.5,1.0
38000,1.4348694,160.0,0.05171674,-0.2857142857142857,-0.2857142857142857,1.0
39000,1.4348693,154.5,0.08952324,-0.3080000025885446,-0.3080000025885446,1.0
40000,1.4348693,139.875,0.07039719,-0.4208749979734421,-0.4208749979734421,1.0
41000,1.4348694,178.2,0.06834967,-0.16459999978542328,-0.16459999978542328,1.0
42000,1.4348694,199.0,0.03283056,-0.2,-0.2,1.0
43000,1.4348693,184.69230769230768,0.023255749,-0.30585714536053793,-0.30585714536053793,1.0
44000,1.4348693,199.0,0.015605861,0.0,0.0,1.0
45000,1.4348694,199.0,0.06817121,0.0,0.0,1.0
46000,1.4348694,199.0,0.025449023,0.0,0.0,1.0
47000,1.4348695,None,0.03875973,0.0,0.0,1.0
48000,1.4348695,199.0,0.057891548,0.0,0.0,1.0
49000,1.4397515,172.73333333333332,0.06407026,0.0,0.0,1.0
50000,1.4446317,199.0,0.017827384,-0.028166671593983967,-0.028166671593983967,1.0
51000,1.4446563,None,-0.020290727,-0.13000000019868216,-0.13000000019868216,1.0
52000,1.4446563,124.66666666666667,0.001181604,0.0,0.0,1.0
53000,1.4446563,176.83333333333334,-0.030857341,-0.32542857101985384,-0.32542857101985384,1.0
54000,1.4446563,196.2,0.03931968,0.01459999978542328,0.01459999978542328,1.0
55000,1.4446563,188.0,0.050186418,0.0,0.0,1.0
56000,1.4446563,199.0,-0.031702887,-0.2,-0.2,1.0
57000,1.4446563,199.0,0.017436396,0.0,0.0,1.0
58000,1.4446563,199.0,-0.035569064,0.0,0.0,1.0
59000,1.4446563,None,-0.00567063,0.0,0.0,1.0
60000,1.4446563,None,0.03819675,0.0,0.0,1.0
61000,1.4446563,199.0,0.03627922,0.0,0.0,1.0
62000,1.4418554,150.66666666666666,-0.0504788,-0.3333333333333333,-0.3333333333333333,1.0
63000,1.4398803,None,0.03526893,0.058333332339922585,0.058333332339922585,1.0
64000,None,None,-0.043752626,0.007375001907348633,0.007375001907348633,1.0
65000,1.4398803,199.0,-0.0007005401,-0.2,-0.2,1.0
66000,1.4398803,184.75,0.01214255,-0.2,-0.2,1.0
67000,1.4398803,199.0,-0.01615667,0.0,0.0,1.0
68000,1.4398801,199.0,0.040931165,0.0,0.0,1.0
69000,1.4398801,199.0,-0.0150916,0.0,0.0,1.0
70000,1.4398801,179.1,-0.046018966,0.0,0.0,1.0
71000,1.4398803,199.0,0.022294087,0.0,0.0,1.0
72000,1.4398803,199.0,0.0077133244,0.0,0.0,1.0
73000,1.4398801,None,0.051199723,0.2852857198034014,0.2852857198034014,1.0
74000,1.4465725,156.82608695652175,0.110746145,0.28962500393390656,0.28962500393390656,1.0
75000,1.4548846,199.0,-0.0039691324,-0.042166670163472496,-0.042166670163472496,1.0
76000,1.4548849,155.0,0.03713308,0.0,0.0,1.0
77000,1.4548849,199.0,-0.030229291,-0.06983333826065063,-0.06983333826065063,1.0
78000,1.4548845,199.0,0.04967158,0.07266666491826375,0.07266666491826375,1.0
79000,1.4548846,163.25,0.09402971,0.14240000247955323,0.14240000247955323,1.0
80000,1.4548848,199.0,0.008084806,0.0,0.0,1.0
81000,1.4548846,174.16666666666666,0.026607478,0.12449999650319417,0.12449999650319417,1.0
82000,1.4548849,182.33333333333334,0.058829784,0.08316666881243388,0.08316666881243388,1.0
83000,1.4548849,199.0,0.027673071,0.0,0.0,1.0
84000,1.4548849,199.0,-0.033483915,0.0,0.0,1.0
85000,1.4548849,None,0.03756832,0.0,0.0,1.0
86000,1.4498568,170.9047619047619,0.033860087,0.0,0.0,1.0
87000,1.4448255,199.0,0.068435006,0.28083332379659015,0.28083332379659015,1.0
88000,1.4448255,199.0,0.005099329,0.0,0.0,1.0
89000,1.4448255,132.66666666666666,0.047373336,0.18128571340015956,0.18128571340015956,1.0
90000,1.4448255,199.0,0.042857163,0.0,0.0,1.0
91000,1.4448254,184.5,0.08507031,0.21533333758513132,0.21533333758513132,1.0
92000,1.4448254,167.33333333333334,0.050858054,0.15783333778381348,0.15783333778381348,1.0
93000,1.4448254,194.16666666666666,0.04240161,0.028999999165534973,0.028999999165534973,1.0
94000,1.4448253,199.0,-0.013326777,0.0,0.0,1.0
95000,1.4448254,199.0,0.02389324,0.0,0.0,1.0
96000,1.4448253,199.0,-0.0004453853,0.0,0.0,1.0
97000,1.4448255,199.0,0.11515937,0.0,0.0,1.0
98000,1.4448255,None,0.029330656,0.0,0.0,1.0
99000,1.4402846,199.0,0.027709585,0.0,0.0,1.0
100000,1.4354599,199.0,0.066599265,0.0,0.0,1.0
101000,1.4354601,198.0,0.020119905,0.0,0.0,1.0
102000,1.4354601,199.0,0.014788416,0.0,0.0,1.0
103000,1.4354599,199.0,0.060988598,0.0019999999552965165,0.0019999999552965165,1.0
104000,1.43546,199.0,-0.0008823313,0.0,0.0,1.0
105000,1.4354601,199.0,0.072795495,0.0,0.0,1.0
106000,1.4354601,199.0,0.011135064,0.0,0.0,1.0
107000,1.4354601,173.0,0.039689105,0.0,0.0,1.0
108000,1.4354601,186.5625,0.021856146,0.15116666754086813,0.15116666754086813,1.0
109000,1.4354599,132.66666666666666,0.033523805,0.0,0.0,1.0
110000,1.4354599,106.0,0.017518032,0.0,0.0,1.0
111000,1.4363008,187.4,0.09794042,0.3660000041127205,0.3660000041127205,1.0
112000,1.4375719,199.0,0.03499804,0.14333333571751913,0.14333333571751913,1.0
113000,1.4375719,199.0,0.0035150684,0.0,0.0,1.0
114000,1.4375716,199.0,0.0026183259,0.0,0.0,1.0
115000,1.4375719,82.33333333333333,0.04635293,0.06000000238418579,0.06000000238418579,1.0
116000,1.4375716,199.0,0.058362585,0.2501428553036281,0.2501428553036281,1.0
117000,1.4375718,175.4,0.022633972,0.0,0.0,1.0
118000,1.4375718,199.0,0.029325375,0.1187999963760376,0.1187999963760376,1.0
119000,1.4375718,199.0,0.024592202,0.0,0.0,1.0
120000,1.4375718,177.16666666666666,0.051277254,0.10916666189829509,0.10916666189829509,1.0
121000,1.4375718,199.0,-0.0049262615,0.0,0.0,1.0
122000,1.4375716,165.0,0.02866516,0.0,0.0,1.0
123000,1.4375718,199.0,0.02020451,0.0,0.0,1.0
124000,1.4359481,158.15,0.039493877,0.06779999732971191,0.06779999732971191,1.0
125000,1.4302939,199.0,0.023724658,0.1478333373864492,0.1478333373864492,1.0
126000,1.4302939,199.0,0.06095445,0.33137500286102295,0.33137500286102295,1.0
127000,1.4302939,199.0,0.027269244,0.11100000143051147,0.11100000143051147,1.0
