Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189383,154.38709677419354,-0.15170795,1.0,1.0,1.0
2000,None,199.0,-0.08014287,0.0,0.0,1.0
3000,None,199.0,-0.1403629,0.0,0.0,1.0
4000,None,199.0,-0.20426278,0.0,0.0,1.0
5000,None,199.0,-0.19542861,0.0,0.0,1.0
6000,None,199.0,-0.3055019,0.0,0.0,1.0
7000,None,199.0,-0.07686059,0.0,0.0,1.0
8000,None,199.0,0.019355338,0.0,0.0,1.0
9000,1.4189383,99.5,-0.19433376,0.0,0.0,1.0
10000,1.4189385,2.0,-0.3064692,0.0,0.0,1.0
11000,1.4189383,5.0,0.040454365,0.0,0.0,1.0
12000,1.4189385,7.0,-0.2785682,0.2857142857142857,0.2857142857142857,1.0
13000,1.4162024,136.75,-0.20909534,0.3333333333333333,0.3333333333333333,1.0
14000,1.414367,123.77777777777777,0.04295773,0.125,0.125,1.0
15000,1.4143671,153.2,0.118817,-1.0,-1.0,1.0
16000,1.414367,192.92,0.06427477,-0.6666666666666666,-0.6666666666666666,1.0
17000,None,199.0,-0.10301487,0.0,0.0,1.0
18000,None,199.0,-0.0961271,0.0,0.0,1.0
19000,None,199.0,-0.1831776,0.0,0.0,1.0
20000,1.4143671,119.4,-0.012000257,0.0,0.0,1.0
21000,1.4143671,102.0,0.0028477728,0.0,0.0,1.0
22000,1.4143671,199.0,-0.19101341,0.0,0.0,1.0
23000,1.414367,199.0,-0.07226521,0.2857142857142857,0.2857142857142857,1.0
24000,1.4143671,199.0,0.012847451,-0.16666666666666666,-0.16666666666666666,1.0
25000,1.4225951,119.88888888888889,-0.0036528576,0.5,0.5,1.0
26000,1.4295509,138.16666666666666,-0.12011014,-0.42857142857142855,-0.42857142857142855,1.0
27000,1.429551,149.28571428571428,0.13818155,-0.42857142857142855,-0.42857142857142855,1.0
28000,1.4295511,178.66666666666666,0.07336678,-0.3333333333333333,-0.3333333333333333,1.0
29000,1.429551,167.83333333333334,-0.028957447,-0.16666666666666666,-0.16666666666666666,1.0
30000,1.4295511,193.29166666666666,-0.00313313,0.4,0.4,1.0
31000,1.4295511,199.0,0.017441925,0.0,0.0,1.0
32000,1.4295511,132.66666666666666,-0.017289665,0.0,0.0,1.0
33000,1.4295509,199.0,-0.08440984,0.0,0.0,1.0
34000,1.4295509,199.0,-0.05358513,0.0,0.0,1.0
35000,1.4295511,199.0,0.052779958,0.16666666666666666,0.16666666666666666,1.0
36000,1.4295511,None,0.032947324,0.0,0.0,1.0
37000,1.4308223,133.72222222222223,0.018489148,0.2,0.2,1.0
38000,1.4300863,199.0,0.068047956,-0.16666666666666666,-0.16666666666666666,1.0
39000,1.4300863,162.33333333333334,0.025094276,0.0,0.0,1.0
40000,1.4300863,153.5,0.06552239,0.14285714285714285,0.14285714285714285,1.0
41000,1.4300864,152.57142857142858,0.04129485,0.3333333333333333,0.3333333333333333,1.0
42000,1.4300863,153.33333333333334,0.11202872,0.14285714285714285,0.14285714285714285,1.0
43000,1.4300863,178.33333333333334,0.022252709,0.0,0.0,1.0
44000,1.4300864,193.1,0.04725576,-0.2,-0.2,1.0
45000,1.4300863,42.0,-0.0121771125,0.0,0.0,1.0
46000,1.4300863,101.0,-0.102687076,0.0,0.0,1.0
47000,None,None,-0.10232021,0.0,0.0,1.0
48000,1.4300863,199.0,0.0631922,0.0,0.0,1.0
49000,1.4332457,147.875,0.041390717,-0.42857142857142855,-0.42857142857142855,1.0
50000,1.436718,199.0,0.11565972,0.42857142857142855,0.42857142857142855,1.0
51000,1.436718,199.0,-0.0823957,-0.2,-0.2,1.0
52000,1.436718,199.0,0.010669602,0.0,0.0,1.0
53000,1.436718,199.0,0.0020231563,0.0,0.0,1.0
54000,1.436718,199.0,0.038697254,0.0,0.0,1.0
55000,1.436718,187.83333333333334,0.0019991894,-0.16666666666666666,-0.16666666666666666,1.0
56000,1.436718,165.8,0.08716498,0.4,0.4,1.0
57000,1.436718,162.21052631578948,0.039807905,0.0,0.0,1.0
58000,1.436718,199.0,0.13229522,0.0,0.0,1.0
59000,1.436718,199.0,0.13697942,0.0,0.0,1.0
60000,1.436718,135.66666666666666,0.07995932,0.375,0.375,1.0
61000,1.4364722,169.33333333333334,0.015475018,0.0,0.0,1.0
62000,1.4343178,199.0,-0.10636141,-0.16666666666666666,-0.16666666666666666,1.0
63000,1.4343178,199.0,-0.058200072,0.0,0.0,1.0
64000,1.4343176,199.0,0.00034899512,0.16666666666666666,0.16666666666666666,1.0
65000,1.4343178,199.0,-0.0460034,0.0,0.0,1.0
66000,1.4343177,150.42857142857142,0.03406891,0.42857142857142855,0.42857142857142855,1.0
67000,1.4343178,170.2,-0.040279638,0.2,0.2,1.0
68000,1.4343176,188.5,-0.10948396,0.0,0.0,1.0
69000,1.4343177,199.0,0.04158137,0.0,0.0,1.0
70000,1.4343176,197.0,0.02955999,0.2,0.2,1.0
71000,1.4343178,103.5,-0.013992597,0.0,0.0,1.0
72000,1.4343178,199.0,0.07527857,0.16666666666666666,0.16666666666666666,1.0
73000,1.433937,160.2608695652174,-0.10518961,0.0,0.0,1.0
74000,1.431512,None,0.0011423094,0.3333333333333333,0.3333333333333333,1.0
75000,1.431512,None,0.066613294,0.16666666666666666,0.16666666666666666,1.0
76000,1.4315122,199.0,0.11526983,0.2857142857142857,0.2857142857142857,1.0
77000,1.431512,199.0,0.041269053,0.2,0.2,1.0
78000,1.431512,199.0,-0.037691977,0.0,0.0,1.0
79000,1.431512,162.4,0.074903265,0.3333333333333333,0.3333333333333333,1.0
80000,1.431512,199.0,0.06520277,0.0,0.0,1.0
81000,1.431512,187.8,-0.019070575,0.2,0.2,1.0
82000,1.431512,196.4,-0.0063770963,0.2,0.2,1.0
83000,1.431512,199.0,-0.0054873913,0.0,0.0,1.0
84000,1.4315122,199.0,0.11829219,0.0,0.0,1.0
85000,1.429607,180.36363636363637,0.025945852,0.16666666666666666,0.16666666666666666,1.0
86000,1.4287163,179.0,-0.08268231,0.2,0.2,1.0
87000,1.4287164,199.0,0.09293463,0.3333333333333333,0.3333333333333333,1.0
88000,1.4287163,None,0.063498974,0.16666666666666666,0.16666666666666666,1.0
89000,1.4287164,199.0,0.038561855,0.2,0.2,1.0
90000,1.4287164,178.2,0.040418804,0.2,0.2,1.0
91000,1.4287163,199.0,0.045459367,0.0,0.0,1.0
92000,1.4287163,153.125,0.11382234,0.16666666666666666,0.16666666666666666,1.0
93000,1.4287164,199.0,0.021400606,0.16666666666666666,0.16666666666666666,1.0
94000,1.4287164,197.0,-0.051531315,0.0,0.0,1.0
95000,1.4287164,179.33333333333334,0.04645422,0.2,0.2,1.0
96000,1.4287163,199.0,0.054563034,0.16666666666666666,0.16666666666666666,1.0
97000,1.4308649,172.4090909090909,0.0017155297,0.0,0.0,1.0
98000,1.4322537,133.0,0.055103794,0.16666666666666666,0.16666666666666666,1.0
99000,1.4322535,199.0,0.1061771,0.3333333333333333,0.3333333333333333,1.0
100000,1.4322535,199.0,0.054577354,0.16666666666666666,0.16666666666666666,1.0
101000,1.4322535,None,0.104260124,0.2,0.2,1.0
102000,1.4322537,193.0,0.04110103,0.2,0.2,1.0
103000,1.4322538,167.0,0.06543902,0.16666666666666666,0.16666666666666666,1.0
104000,1.4322537,199.0,0.003650602,0.0,0.0,1.0
105000,1.4322537,150.28571428571428,0.19644296,0.42857142857142855,0.42857142857142855,1.0
106000,1.4322537,124.0,0.1450452,0.5,0.5,1.0
107000,1.4322538,152.16666666666666,0.14631017,0.5,0.5,1.0
108000,1.4322537,199.0,-0.04115594,0.0,0.0,1.0
109000,1.4322537,170.0,0.075559735,0.16666666666666666,0.16666666666666666,1.0
110000,1.4317765,177.52380952380952,0.13202013,0.0,0.0,1.0
111000,1.4268657,None,0.24492319,0.4,0.4,1.0
112000,1.4268657,None,0.2454455,0.2857142857142857,0.2857142857142857,1.0
113000,1.4268658,127.0,0.15579496,0.3333333333333333,0.3333333333333333,1.0
114000,1.4268659,147.71428571428572,0.1677396,0.42857142857142855,0.42857142857142855,1.0
115000,1.4268658,188.6,0.10516741,0.2,0.2,1.0
116000,1.4268657,174.71428571428572,0.07259934,0.16666666666666666,0.16666666666666666,1.0
117000,1.4268659,133.8,0.26460737,0.6666666666666666,0.6666666666666666,1.0
118000,1.4268658,151.57142857142858,0.3691342,0.7142857142857143,0.7142857142857143,1.0
119000,1.4268658,168.14285714285714,0.17720582,0.3333333333333333,0.3333333333333333,1.0
120000,1.4268657,180.4,0.086721964,0.3333333333333333,0.3333333333333333,1.0
121000,1.4268657,109.125,0.27473173,0.5,0.5,1.0
122000,1.426628,152.69230769230768,0.2574346,0.5555555555555556,0.5555555555555556,1.0
123000,1.4254104,199.0,0.060672738,0.2,0.2,1.0
124000,1.4254104,122.0,0.15817378,0.3333333333333333,0.3333333333333333,1.0
125000,1.4254104,174.0,0.25641862,0.3333333333333333,0.3333333333333333,1.0
126000,1.4254104,114.5,0.31081575,0.5,0.5,1.0
127000,1.4254106,174.14285714285714,0.05955704,0.16666666666666666,0.16666666666666666,1.0
128000,1.4254103,167.6,0.13766238,0.5,0.5,1.0
129000,1.4254104,129.28571428571428,0.26756027,0.7142857142857143,0.7142857142857143,1.0
130000,1.4254104,181.6,0.056999095,0.2,0.2,1.0
131000,1.4254105,146.85714285714286,0.26100245,0.42857142857142855,0.42857142857142855,1.0
132000,1.4254105,145.85714285714286,0.1956098,0.5714285714285714,0.5714285714285714,1.0
133000,1.4254104,186.8,0.11623688,0.0,0.0,1.0
134000,1.4258069,163.25,0.19320902,0.42857142857142855,0.42857142857142855,1.0
135000,None,None,0.041049156,0.2,0.2,1.0
136000,None,None,0.19412978,0.5714285714285714,0.5714285714285714,1.0
137000,1.4259455,199.0,0.1095845,0.5,0.5,1.0
138000,1.4259455,168.2,0.2675709,0.4,0.4,1.0
139000,1.4259455,142.875,0.24361551,0.5714285714285714,0.5714285714285714,1.0
140000,1.4259455,157.83333333333334,0.36520317,0.5714285714285714,0.5714285714285714,1.0
141000,1.4259456,126.875,0.30284327,0.75,0.75,1.0
142000,1.4259458,165.16666666666666,0.2260493,0.5,0.5,1.0
143000,1.4259456,192.2,0.077548966,0.2,0.2,1.0
144000,1.4259456,144.42857142857142,0.21031985,0.5714285714285714,0.5714285714285714,1.0
145000,1.4259455,158.0,0.34419104,0.5,0.5,1.0
146000,1.4254127,149.1304347826087,0.12337956,0.3333333333333333,0.3333333333333333,1.0
147000,1.4257467,199.0,0.2698111,0.75,0.75,1.0
148000,1.4257468,199.0,0.28295034,0.7142857142857143,0.7142857142857143,1.0
149000,1.4257468,None,0.11004474,0.2,0.2,1.0
150000,1.4257467,172.33333333333334,0.114541344,0.5,0.5,1.0
151000,1.4257468,186.4,0.18203327,0.2,0.2,1.0
152000,1.4257467,129.11111111111111,0.35422415,0.75,0.75,1.0
153000,1.4257468,153.8,0.038739864,0.5,0.5,1.0
154000,1.4257467,121.77777777777777,0.31784284,0.5555555555555556,0.5555555555555556,1.0
155000,1.4257468,152.375,0.28346676,0.7142857142857143,0.7142857142857143,1.0
156000,1.4257468,153.4,0.15703535,0.0,0.0,1.0
157000,1.4257468,127.42857142857143,0.37690014,0.75,0.75,1.0
158000,1.4257468,194.4,0.11080202,0.2,0.2,1.0
159000,1.4248354,150.71428571428572,0.51810217,0.7777777777777778,0.7777777777777778,1.0
160000,1.422201,86.0,0.29612407,0.4,0.4,1.0
161000,1.422201,127.33333333333333,0.20501637,0.6,0.6,1.0
162000,1.422201,141.0,0.4826996,0.7777777777777778,0.7777777777777778,1.0
163000,1.422201,171.33333333333334,0.18321423,0.3333333333333333,0.3333333333333333,1.0
164000,1.422201,123.42857142857143,0.21097003,0.5714285714285714,0.5714285714285714,1.0
165000,1.422201,117.45454545454545,0.47193587,0.625,0.625,1.0
166000,1.422201,126.5,0.2842769,0.8888888888888888,0.8888888888888888,1.0
167000,1.422201,110.88888888888889,0.27609086,0.625,0.625,1.0
168000,1.422201,108.0,0.4248065,0.9,0.9,1.0
169000,1.422201,167.8,0.24754433,0.8333333333333334,0.8333333333333334,1.0
170000,1.422201,162.33333333333334,0.18685766,0.5,0.5,1.0
171000,1.4199425,117.5909090909091,0.43281847,0.625,0.625,1.0
172000,None,None,0.39015034,0.75,0.75,1.0
173000,1.4148197,140.66666666666666,0.42252278,0.5555555555555556,0.5555555555555556,1.0
174000,1.4148197,124.625,0.52639824,0.875,0.875,1.0
175000,1.4148197,123.625,0.45480794,0.875,0.875,1.0
176000,1.4148197,143.42857142857142,0.37276533,0.5714285714285714,0.5714285714285714,1.0
177000,1.4148197,105.77777777777777,0.43960816,0.7777777777777778,0.7777777777777778,1.0
178000,1.4148197,123.375,0.56297255,0.75,0.75,1.0
179000,1.4148197,98.3,0.410995,1.0,1.0,1.0
180000,1.4148197,180.14285714285714,0.28851274,0.3333333333333333,0.3333333333333333,1.0
181000,1.4148197,129.5,0.4082206,0.8571428571428571,0.8571428571428571,1.0
182000,1.4148197,183.33333333333334,0.4254273,0.3333333333333333,0.3333333333333333,1.0
183000,1.4139081,127.54545454545455,0.31030932,0.5,0.5,1.0
184000,1.4135492,58.5,0.4686938,0.5714285714285714,0.5714285714285714,1.0
185000,1.4135492,23.666666666666668,0.5371817,0.7,0.7,1.0
186000,1.4135491,118.875,0.49736902,0.8333333333333334,0.8333333333333334,1.0
187000,1.413549,147.57142857142858,0.3982809,0.5714285714285714,0.5714285714285714,1.0
188000,1.413549,119.44444444444444,0.4282469,0.5,0.5,1.0
189000,1.4135491,94.44444444444444,0.39608073,0.8,0.8,1.0
190000,1.413549,107.81818181818181,0.47028098,0.8,0.8,1.0
191000,1.413549,144.5,0.32933527,0.42857142857142855,0.42857142857142855,1.0
192000,1.413549,91.11111111111111,0.3324426,0.6666666666666666,0.6666666666666666,1.0
193000,1.4135492,105.1,0.37902364,0.8,0.8,1.0
194000,1.413549,182.625,0.23170447,0.3333333333333333,0.3333333333333333,1.0
195000,1.4131498,115.04761904761905,0.3425927,0.16666666666666666,0.16666666666666666,1.0
196000,1.4129896,114.66666666666667,0.43406487,0.8,0.8,1.0
197000,1.4129896,102.0,0.55710506,0.625,0.625,1.0
198000,1.4129899,130.25,0.49964225,0.75,0.75,1.0
199000,1.4129899,123.0,0.5075064,0.5,0.5,1.0
200000,1.4129896,89.9090909090909,0.47596517,0.3333333333333333,0.3333333333333333,1.0
201000,1.4129897,118.22222222222223,0.5490323,0.9090909090909091,0.9090909090909091,1.0
202000,1.4129896,127.42857142857143,0.40845695,0.7142857142857143,0.7142857142857143,1.0
203000,1.4129899,83.21428571428571,0.48313195,0.9230769230769231,0.9230769230769231,1.0
204000,1.4129896,105.77777777777777,0.5262732,1.0,1.0,1.0
205000,1.4129896,94.5,0.46897575,0.7777777777777778,0.7777777777777778,1.0
206000,1.4129897,98.45454545454545,0.66686416,1.0,1.0,1.0
207000,1.4137741,117.53846153846153,0.43610838,0.375,0.375,1.0
208000,1.414103,199.0,0.5295664,0.7142857142857143,0.7142857142857143,1.0
209000,1.4141028,161.75,0.5384697,0.9,0.9,1.0
210000,1.4141028,83.0,0.39949083,0.7142857142857143,0.7142857142857143,1.0
211000,1.4141028,114.375,0.51200277,0.5555555555555556,0.5555555555555556,1.0
212000,1.4141029,95.125,0.5555774,0.8888888888888888,0.8888888888888888,1.0
213000,1.4141028,106.2,0.53280044,0.9,0.9,1.0
214000,1.414103,93.3,0.5546397,0.7,0.7,1.0
215000,1.4141028,146.71428571428572,0.43552098,0.42857142857142855,0.42857142857142855,1.0
216000,1.4141028,85.16666666666667,0.5151128,0.8333333333333334,0.8333333333333334,1.0
217000,1.4141028,73.76923076923077,0.5665483,1.0,1.0,1.0
218000,1.4141028,130.33333333333334,0.5233568,0.6666666666666666,0.6666666666666666,1.0
219000,1.4149125,92.2,0.4993134,0.8571428571428571,0.8571428571428571,1.0
220000,1.4176394,114.0,0.5970458,1.0,1.0,1.0
221000,1.4176396,97.0,0.5553539,0.9,0.9,1.0
222000,1.4176396,84.36363636363636,0.66217345,1.0,1.0,1.0
223000,1.4176396,102.8,0.47254685,0.4444444444444444,0.4444444444444444,1.0
224000,1.4176396,81.0909090909091,0.5603203,1.0,1.0,1.0
225000,1.4176395,78.2,0.5773828,1.0,1.0,1.0
226000,1.4176395,94.77777777777777,0.525272,0.9,0.9,1.0
227000,1.4176395,87.33333333333333,0.58615553,0.9166666666666666,0.9166666666666666,1.0
228000,1.4176396,165.16666666666666,0.4008247,0.7142857142857143,0.7142857142857143,1.0
229000,1.4176395,87.0,0.523291,0.8,0.8,1.0
230000,1.4176394,69.46666666666667,0.6442928,1.0,1.0,1.0
231000,1.4176396,71.3076923076923,0.6478456,1.0,1.0,1.0
232000,1.4155488,62.48,0.6201755,1.0,1.0,1.0
