Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
1000,2.886679,137.875,-0.0008220561,0.11987392,7.345465268407549,7.345465268407549,0.0,1.0
2000,2.8882785,227.5,-0.0049979193,0.09297469,6.489688575267792,6.489688575267792,0.0,1.0
3000,2.8884053,244.25,0.0922921,-0.10884194,-2.0209617614746094,-2.0209617614746094,0.0,1.0
4000,2.888988,315.0,-0.05216704,0.34560785,1.025270938873291,1.025270938873291,0.0,1.0
5000,2.8885493,339.6666666666667,0.043913405,0.11124915,-5.548060258229573,-5.548060258229573,0.0,1.0
6000,2.8891644,285.0,0.25114605,0.32713827,81.66010252634685,81.66010252634685,0.0,1.0
7000,2.8896968,396.15384615384613,-0.112265736,0.19912499,94.22980801264445,94.22980801264445,0.0,1.0
8000,2.8901095,None,-0.0035892911,-0.111980096,-6.326512336730957,-6.326512336730957,0.0,1.0
9000,2.8900795,None,0.06944416,0.22115827,48.402870178222656,48.402870178222656,0.0,1.0
10000,2.8900936,None,-0.32721952,0.3424708,23.85066533088684,23.85066533088684,0.0,1.0
11000,2.8901117,15.0,-0.085791804,0.083416365,34.2045005162557,34.2045005162557,0.0,1.0
12000,2.8900838,180.8,-0.25641102,0.31684136,19.32791332403819,19.32791332403819,0.0,1.0
13000,2.8870625,239.95238095238096,-0.24261837,0.40611795,5.511385281880696,5.511385281880696,23.614166259765625,1.0
14000,2.8857262,399.0,-0.31127903,0.25227603,-4.531820774078369,-4.531820774078369,62.27196645736694,1.0
15000,2.885654,189.0,-0.51278716,0.046831977,-4.365689754486084,-4.365689754486084,55.65226538976034,1.0
16000,2.885613,301.0,-0.25896987,0.08869874,-3.8837507247924803,-3.8837507247924803,61.12946090698242,1.0
17000,2.8857102,None,-0.17720532,-0.01523892,-4.84199333190918,-4.84199333190918,72.52467918395996,1.0
18000,2.8857665,None,0.0055320486,-0.031897128,12.348569393157959,12.348569393157959,78.24001693725586,1.0
19000,2.8852098,207.25,-0.080594234,0.07578261,-3.5224382281303406,-3.5224382281303406,71.0694351196289,1.0
20000,2.885373,353.0,-0.13281843,0.18905173,-4.391310612360637,-4.391310612360637,94.67380777994792,1.0
21000,2.8848917,271.25,0.1258363,0.28112516,17.38931957880656,17.38931957880656,72.92160034179688,1.0
22000,2.884584,358.3333333333333,0.110906236,0.005037183,4.855322003364563,4.855322003364563,67.6228141784668,1.0
23000,2.8842406,248.71428571428572,-0.22878683,-0.016933868,-3.2661530017852782,-3.2661530017852782,55.467050552368164,1.0
24000,2.8845243,None,-0.4428597,-0.10150117,-6.916037559509277,-6.916037559509277,117.32271194458008,1.0
25000,2.882575,277.76190476190476,0.04785837,0.267916,-1.7920472621917725,-1.7920472621917725,70.23186620076497,1.0
26000,2.8826811,None,-0.3348517,0.785952,-1.9690149171011788,-1.9690149171011788,44.43659135273525,1.0
27000,2.8825967,100.0,-0.0065150806,0.6067635,2.8346084356307983,2.8346084356307983,37.800520062446594,1.0
28000,2.883175,None,0.07734387,0.5237875,23.93792986869812,23.93792986869812,120.886048634847,1.0
29000,2.8825817,None,-0.15179223,0.5534048,-4.633580923080444,-4.633580923080444,68.79165267944336,1.0
30000,2.8825033,392.5,0.29472715,0.53659785,7.3208799958229065,7.3208799958229065,64.3996068239212,1.0
31000,2.8826368,399.0,-0.21777904,0.55225134,-5.468264102935791,-5.468264102935791,74.49233627319336,1.0
32000,2.881835,399.0,-0.0974383,0.36340737,29.240163167317707,29.240163167317707,111.50679016113281,1.0
