Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5074000,1.2309481,9.785679,2850.0,284.0600357055664,284.0600357055664,1.0
5075000,None,9.973326,None,None,None,1.0
5076000,None,9.969113,None,None,None,1.0
5077000,None,9.971219,None,None,None,1.0
5078000,None,9.970729,None,None,None,1.0
5079000,None,9.957301,None,None,None,1.0
5080000,None,9.94963,None,None,None,1.0
5081000,None,9.892938,None,None,None,1.0
5082000,None,9.937942,None,None,None,1.0
5083000,None,9.968694,None,None,None,1.0
5084000,None,9.971378,None,None,None,1.0
5085000,None,9.980959,None,None,None,1.0
5086000,None,9.975283,None,None,None,1.0
5087000,None,9.961286,None,None,None,1.0
5088000,1.2234194,9.976484,None,None,None,1.0
5089000,1.1535207,9.973849,None,None,None,1.0
5090000,1.1545364,9.974868,None,None,None,1.0
5091000,1.1942191,9.973721,None,None,None,1.0
5092000,1.1753427,9.975279,None,None,None,1.0
5093000,1.1426704,9.955468,None,None,None,1.0
5094000,1.1768854,9.9721,None,None,None,1.0
5095000,1.169174,9.966549,None,None,None,1.0
5096000,1.304821,9.971726,None,None,None,1.0
5097000,1.2927912,9.949455,None,None,None,1.0
5098000,1.2478318,9.965406,None,None,None,1.0
5099000,1.3414531,9.96959,None,None,None,1.0
5100000,1.3484422,9.957631,None,None,None,1.0
5101000,1.3167632,9.822925,None,None,None,1.0
5102000,1.2675148,9.960078,None,None,None,1.0
5103000,1.2961967,9.97545,None,None,None,1.0
5104000,1.1242859,9.962244,None,None,None,1.0
5105000,1.3358514,9.969783,None,None,None,1.0
5106000,1.3916696,9.953708,None,None,None,1.0
5107000,1.2915522,9.965235,None,None,None,1.0
5108000,1.2134393,9.971044,3330.0,None,None,1.0
5109000,1.2095361,9.246008,3472.3333333333335,337.3900489807129,337.3900489807129,1.0
5110000,1.2215618,9.049944,3543.0,348.06005096435547,348.06005096435547,1.0
5111000,1.2351614,9.591797,3581.5,355.2400436401367,355.2400436401367,1.0
5112000,1.1923074,9.580208,3597.0,358.04004669189453,358.04004669189453,1.0
5113000,1.1937484,9.55079,None,358.7200469970703,358.7200469970703,1.0
5114000,1.2647392,9.457071,3703.0,358.7200469970703,358.7200469970703,1.0
5115000,1.2282741,9.609527,None,369.3800506591797,369.3800506591797,1.0
5116000,1.2999119,9.625589,3755.6666666666665,371.8500518798828,371.8500518798828,1.0
5117000,1.2175626,9.563857,None,374.7200469970703,374.7200469970703,1.0
5118000,1.2955058,9.433236,None,374.7200469970703,374.7200469970703,1.0
5119000,1.4103184,9.98373,None,None,None,1.0
5120000,1.26844,9.989072,3862.0,None,None,1.0
5121000,1.3217198,9.614541,3906.2,385.300048828125,385.300048828125,1.0
5122000,1.359865,8.914092,None,385.3800506591797,385.3800506591797,1.0
5123000,1.2834342,9.217236,None,390.7200469970703,390.7200469970703,1.0
5124000,1.2810516,9.470288,None,390.7200469970703,390.7200469970703,1.0
5125000,1.2793328,9.376264,3970.0,390.7200469970703,390.7200469970703,1.0
5126000,1.2022192,9.45197,None,396.06005859375,396.06005859375,1.0
5127000,1.3514019,9.490323,None,396.06005859375,396.06005859375,1.0
5128000,None,9.575414,None,None,None,1.0
5129000,1.4358001,9.867657,None,None,None,1.0
5130000,1.3748536,9.755491,None,None,None,1.0
5131000,1.2837815,9.834573,None,None,None,1.0
5132000,1.3035417,9.77244,None,None,None,1.0
5133000,1.3718601,9.742505,None,None,None,1.0
5134000,1.3265426,9.8234005,None,None,None,1.0
5135000,1.5323677,9.680561,None,None,None,1.0
5136000,1.3284408,9.767713,None,None,None,1.0
5137000,1.3548257,6.0170135,4151.0,409.38006150722504,409.38006150722504,1.0
5138000,1.3584121,7.804749,None,417.3800621032715,417.3800621032715,1.0
5139000,1.3730235,9.409551,4379.0,433.3800582885742,433.3800582885742,1.0
5140000,1.3607318,8.651696,None,438.7200622558594,438.7200622558594,1.0
5141000,1.3730042,9.921323,4452.0,None,None,1.0
5142000,1.3413441,9.269331,None,444.28006744384766,444.28006744384766,1.0
5143000,1.4193697,9.90426,None,None,None,1.0
5144000,1.3619113,9.912406,None,None,None,1.0
5145000,1.2980651,9.49893,4555.0,454.60005950927734,454.60005950927734,1.0
5146000,1.3991674,9.904776,None,None,None,1.0
5147000,1.4343448,9.927274,None,None,None,1.0
5148000,1.4192268,9.903164,None,None,None,1.0
5149000,1.4229088,9.910713,None,None,None,1.0
5150000,1.442585,9.8889675,None,None,None,1.0
5151000,1.3783342,9.900877,None,None,None,1.0
5152000,1.3446296,9.915043,None,None,None,1.0
5153000,1.3601305,9.916636,None,None,None,1.0
5154000,1.3188381,9.872726,None,None,None,1.0
5155000,1.3640639,9.892907,None,None,None,1.0
5156000,1.3490939,9.902588,None,None,None,1.0
5157000,1.364504,9.614004,None,None,None,1.0
5158000,1.4749496,9.771154,None,None,None,1.0
5159000,1.3262373,9.911496,None,None,None,1.0
5160000,1.3414903,9.906996,None,None,None,1.0
5161000,1.3689628,9.872133,None,None,None,1.0
5162000,1.3844267,9.910465,None,None,None,1.0
5163000,1.2682881,9.9054165,None,None,None,1.0
5164000,1.3113642,9.915697,None,None,None,1.0
5165000,1.3422502,9.94967,None,None,None,1.0
5166000,1.3483164,9.959121,None,None,None,1.0
5167000,1.3046263,9.930883,None,None,None,1.0
5168000,1.3055223,9.954794,None,None,None,1.0
5169000,1.3594187,9.951992,None,None,None,1.0
5170000,1.3819039,9.95385,None,None,None,1.0
5171000,1.287684,9.938016,1836.0,None,None,1.0
5172000,1.319291,9.557219,None,182.62002563476562,182.62002563476562,1.0
5173000,1.3556749,9.892511,None,None,None,1.0
5174000,1.266873,9.955366,None,None,None,1.0
5175000,1.36457,9.948525,None,None,None,1.0
5176000,1.2325954,9.954256,None,None,None,1.0
5177000,1.2833406,9.899071,None,None,None,1.0
5178000,1.3769348,9.973758,None,None,None,1.0
5179000,1.2403462,9.931788,None,None,None,1.0
5180000,1.2320153,9.945941,None,None,None,1.0
5181000,1.2834086,9.974416,None,None,None,1.0
5182000,1.3901839,9.943365,None,None,None,1.0
5183000,1.3446943,9.941272,None,None,None,1.0
5184000,1.3485932,9.923535,None,None,None,1.0
5185000,1.2568167,9.938365,None,None,None,1.0
5186000,1.3137692,9.910089,None,None,None,1.0
5187000,1.2670121,9.912414,None,None,None,1.0
5188000,1.1871872,9.937975,None,None,None,1.0
5189000,1.2700269,9.941233,None,None,None,1.0
5190000,1.234885,9.935581,None,None,None,1.0
5191000,1.1330705,9.962488,None,None,None,1.0
